step,mode,selected_models,selected_est_latency_s,feasible,deadline_s,mean_wait_s,max_wait_s,min_wait_s
23,power_of_two_choices,"['resnet18', 'resnet101', 'vit_b_16']",11.19257355013736,True,15.0,11.231362638575304,14.016261658583728,6.670386698788365
24,mode_s,"['vit_b_16', 'resnet101', 'resnet34']",14.31471682620176,True,15.0,12.646001029975587,16.012119542995112,6.754774768620566
24,sequential,"['vit_b_16', 'resnet101', 'resnet18']",10.444915229687739,True,15.0,12.646001029975587,16.012119542995112,6.754774768620566
24,power_of_two_choices,"['resnet50', 'resnet101', 'vit_b_16']",12.419187008985142,True,15.0,12.646001029975587,16.012119542995112,6.754774768620566
25,mode_s,"['vit_b_16', 'resnet101', 'resnet18']",14.052878640463941,True,15.0,13.382988078811202,16.994707729114953,6.6435783097510095
25,sequential,"['vit_b_16', 'resnet101', 'resnet18']",10.463664063448528,True,15.0,13.382988078811202,16.994707729114953,6.6435783097510095
25,power_of_two_choices,"['resnet50', 'resnet101', 'vit_b_16']",12.714341351635587,True,15.0,13.382988078811202,16.994707729114953,6.6435783097510095
26,mode_s,"['vit_b_16', 'resnet101']",12.732571975001195,True,15.0,14.510401606430888,18.669794221889475,6.569137806422703
26,sequential,"['vit_b_16', 'resnet101', 'resnet18']",10.530644452442264,True,15.0,14.510401606430888,18.669794221889475,6.569137806422703
26,power_of_two_choices,"['resnet50', 'resnet101', 'vit_b_16']",12.989107106625243,True,15.0,14.510401606430888,18.669794221889475,6.569137806422703
27,mode_s,"['vit_b_16', 'resnet101']",12.698703396640292,True,15.0,14.982637607853393,19.348270010667175,6.6613595260994884
27,sequential,"['vit_b_16', 'resnet101', 'resnet18']",10.651202124922607,True,15.0,14.982637607853393,19.348270010667175,6.6613595260994884
27,power_of_two_choices,"['resnet50', 'resnet101', 'vit_b_16']",12.9588082551806,True,15.0,14.982637607853393,19.348270010667175,6.6613595260994884
28,mode_s,"['vit_b_16', 'resnet101']",12.392385657706875,True,15.0,14.932366213539792,19.272958121261464,6.582860678033297
28,sequential,"['vit_b_16', 'resnet101', 'resnet18']",10.491286937554056,True,15.0,14.932366213539792,19.272958121261464,6.582860678033297
28,power_of_two_choices,"['resnet50', 'resnet101', 'vit_b_16']",12.649451975523595,True,15.0,14.932366213539792,19.272958121261464,6.582860678033297
29,mode_s,"['vit_b_16', 'resnet101']",12.553713934463254,True,15.0,14.892134319066473,19.21396014134994,6.21104170296401
29,sequential,"['vit_b_16', 'resnet101', 'resnet18']",10.16133598137956,True,15.0,14.892134319066473,19.21396014134994,6.21104170296401
29,power_of_two_choices,"['resnet50', 'resnet101', 'vit_b_16']",12.796387848755808,True,15.0,14.892134319066473,19.21396014134994,6.21104170296401
30,mode_s,"['vit_b_16', 'resnet101']",12.553713934463254,True,15.0,15.339136125911473,20.780996856336884,6.21104170296401
30,sequential,"['vit_b_16', 'resnet101', 'resnet18']",10.146659281105203,True,15.0,15.339136125911473,20.780996856336884,6.21104170296401
30,power_of_two_choices,"['resnet50', 'resnet101', 'vit_b_16']",12.796387848755808,True,15.0,15.339136125911473,20.780996856336884,6.21104170296401
31,mode_s,"['vit_b_16', 'resnet101']",12.507886483849187,True,15.0,14.750277376256,19.06646519157113,6.29093753945387
31,sequential,"['vit_b_16', 'resnet101', 'resnet18']",10.198847215227458,True,15.0,14.750277376256,19.06646519157113,6.29093753945387
31,power_of_two_choices,"['resnet50', 'resnet101', 'vit_b_16']",12.75365301362337,True,15.0,14.750277376256,19.06646519157113,6.29093753945387
32,mode_s,"['vit_b_16', 'resnet101']",12.857608269143274,True,15.0,14.728126430031255,18.99428213119803,6.147543513729769
32,sequential,"['vit_b_16', 'resnet101', 'resnet18']",10.145798953004466,True,15.0,14.728126430031255,18.99428213119803,6.147543513729769
32,power_of_two_choices,"['resnet50', 'resnet101', 'vit_b_16']",13.097824289611708,True,15.0,14.728126430031255,18.99428213119803,6.147543513729769
33,mode_s,"['vit_b_16', 'resnet101']",12.857608269143274,True,15.0,14.677211679310625,18.891357156307237,6.147543513729769
33,sequential,"['vit_b_16', 'resnet101', 'resnet18']",10.147327634355984,True,15.0,14.677211679310625,18.891357156307237,6.147543513729769
33,power_of_two_choices,"['resnet50', 'resnet101', 'vit_b_16']",13.097824289611708,True,15.0,14.677211679310625,18.891357156307237,6.147543513729769
34,mode_s,"['vit_b_16', 'resnet101']",12.910658305129703,True,15.0,14.629851496559468,18.81395045273899,6.251880192044495
34,sequential,"['vit_b_16', 'resnet101', 'resnet18']",10.263221006560649,True,15.0,14.629851496559468,18.81395045273899,6.251880192044495
34,power_of_two_choices,"['resnet50', 'resnet101', 'vit_b_16']",13.154912999461937,True,15.0,14.629851496559468,18.81395045273899,6.251880192044495
35,mode_s,"['vit_b_16', 'resnet101']",13.222410794931733,True,15.0,14.480631450421834,18.49020545213044,6.3961540244050425
35,sequential,"['vit_b_16', 'resnet101', 'resnet18']",10.48050345032227,True,15.0,14.480631450421834,18.49020545213044,6.3961540244050425
35,power_of_two_choices,"['resnet50', 'resnet101', 'vit_b_16']",13.472250054206958,True,15.0,14.480631450421834,18.49020545213044,6.3961540244050425
36,mode_s,"['vit_b_16', 'resnet101']",13.637947023074913,True,15.0,15.295770512998047,18.387280477239646,11.141895739407556
36,sequential,"['vit_b_16', 'resnet101']",14.587305591796703,True,15.0,15.295770512998047,18.387280477239646,11.141895739407556
36,power_of_two_choices,"['resnet50', 'resnet101', 'vit_b_16']",14.071484894748972,True,15.0,15.295770512998047,18.387280477239646,11.141895739407556
37,mode_s,"['vit_b_16', 'resnet101']",13.637947023074917,True,15.0,15.062785646950696,18.05697108152695,11.141895739407559
37,sequential,"['vit_b_16', 'resnet101']",14.587305591796706,True,15.0,15.062785646950696,18.05697108152695,11.141895739407559
37,power_of_two_choices,"['resnet50', 'resnet101', 'vit_b_16']",14.071484894748975,True,15.0,15.062785646950696,18.05697108152695,11.141895739407559
38,mode_s,"['vit_b_16', 'resnet101']",10.830198548998277,True,15.0,13.193615506037583,17.7530318467374,3.960435143180456
38,sequential,"['vit_b_16', 'resnet101', 'resnet18']",7.42399290888345,True,15.0,13.193615506037583,17.7530318467374,3.960435143180456
38,power_of_two_choices,"['resnet50', 'resnet101', 'vit_b_16']",10.985755774917129,True,15.0,13.193615506037583,17.7530318467374,3.960435143180456
39,mode_s,"['vit_b_16', 'resnet101', 'resnet18']",14.9967709097352,True,15.0,13.10505901113725,17.638685401948468,3.960435143180456
39,sequential,"['vit_b_16', 'resnet101', 'resnet18']",7.42102176822217,True,15.0,13.10505901113725,17.638685401948468,3.960435143180456
39,power_of_two_choices,"['resnet50', 'resnet101', 'vit_b_16']",10.985755774917129,True,15.0,13.10505901113725,17.638685401948468,3.960435143180456
40,mode_s,"['vit_b_16', 'resnet101', 'resnet34']",14.534865832882057,True,15.0,12.645891580702127,17.113068432668154,3.960435143180456
40,sequential,"['vit_b_16', 'resnet101', 'resnet18']",7.39367482357082,True,15.0,12.645891580702127,17.113068432668154,3.960435143180456
40,power_of_two_choices,"['resnet50', 'resnet101', 'vit_b_16']",10.985755774917129,True,15.0,12.645891580702127,17.113068432668154,3.960435143180456
41,mode_s,"['vit_b_16', 'resnet101', 'resnet34']",13.920010654627585,True,15.0,12.702758180183652,16.71517878109375,3.960435143180456
41,sequential,"['vit_b_16', 'resnet101', 'resnet34']",7.369787147114861,True,15.0,12.702758180183652,16.71517878109375,3.960435143180456
41,power_of_two_choices,"['resnet50', 'resnet101', 'vit_b_16']",10.985755774917129,True,15.0,12.702758180183652,16.71517878109375,3.960435143180456
42,mode_s,"['vit_b_16', 'resnet101', 'resnet34']",13.566220159242713,True,15.0,12.089162610405042,16.361388285708877,3.960435143180456
42,sequential,"['vit_b_16', 'resnet101', 'resnet34']",7.352953017236433,True,15.0,12.089162610405042,16.361388285708877,3.960435143180456
42,power_of_two_choices,"['resnet50', 'resnet101', 'vit_b_16']",10.985755774917129,True,15.0,12.089162610405042,16.361388285708877,3.960435143180456
43,mode_s,"['vit_b_16', 'resnet101', 'resnet34']",13.167481363758103,True,15.0,11.797588768103552,15.962649490224267,3.960435143180456
43,sequential,"['vit_b_16', 'resnet101', 'resnet34']",7.333980148382357,True,15.0,11.797588768103552,15.962649490224267,3.960435143180456
43,power_of_two_choices,"['resnet50', 'resnet101', 'vit_b_16']",10.985755774917129,True,15.0,11.797588768103552,15.962649490224267,3.960435143180456
44,mode_s,"['vit_b_16', 'resnet101', 'resnet34']",13.36101604034163,True,15.0,11.634636524991263,15.733098932486524,3.960435143180456
44,sequential,"['vit_b_16', 'resnet101', 'mobilenet_v3_small']",7.322754259786673,True,15.0,11.634636524991263,15.733098932486524,3.960435143180456
44,power_of_two_choices,"['resnet50', 'resnet101', 'vit_b_16']",10.985755774917129,True,15.0,11.634636524991263,15.733098932486524,3.960435143180456
45,mode_s,"['vit_b_16', 'resnet101', 'resnet34']",12.613742596325144,True,15.0,11.12352869735435,14.985825488470038,3.960435143180456
45,sequential,"['vit_b_16', 'resnet101', 'mobilenet_v3_small']",7.284527476120556,True,15.0,11.12352869735435,14.985825488470038,3.960435143180456
45,power_of_two_choices,"['resnet50', 'resnet101', 'vit_b_16']",10.985755774917129,True,15.0,11.12352869735435,14.985825488470038,3.960435143180456
