mode,subset,ordered_models,size,est_latency_s,feasible,extra_info_1,extra_info_2
mode_s,['mobilenet_v3_small'],['mobilenet_v3_small'],1,0.11212053584300267,True,103.125,
mode_s,['resnet18'],['resnet18'],1,0.06801052487098028,True,7.333333333333333,
mode_s,['resnet34'],['resnet34'],1,0.15079315265970755,True,3.9759036144578315,
mode_s,['resnet50'],['resnet50'],1,0.1787536050563898,True,3.235294117647059,
mode_s,['resnet101'],['resnet101'],1,0.3854057733959642,False,inf,
mode_s,['vit_b_16'],['vit_b_16'],1,0.3926369451516377,False,inf,
mode_s,"['mobilenet_v3_small', 'resnet18']","['mobilenet_v3_small', 'resnet18']",2,0.11212053584300267,True,10.394190871369295,
mode_s,"['mobilenet_v3_small', 'resnet34']","['mobilenet_v3_small', 'resnet34']",2,0.15079315265970755,True,5.812064965197216,
mode_s,"['mobilenet_v3_small', 'resnet50']","['mobilenet_v3_small', 'resnet50']",2,0.1787536050563898,True,4.762357414448669,
mode_s,"['mobilenet_v3_small', 'resnet101']","['mobilenet_v3_small', 'resnet101']",2,0.3854057733959642,False,inf,
mode_s,"['mobilenet_v3_small', 'vit_b_16']","['mobilenet_v3_small', 'vit_b_16']",2,0.3926369451516377,False,inf,
mode_s,"['resnet18', 'resnet34']","['resnet18', 'resnet34']",2,0.15079315265970755,True,3.9140625,
mode_s,"['resnet18', 'resnet50']","['resnet18', 'resnet50']",2,0.1787536050563898,True,3.4081632653061225,
mode_s,"['resnet18', 'resnet101']","['resnet18', 'resnet101']",2,0.3854057733959642,False,inf,
mode_s,"['resnet18', 'vit_b_16']","['resnet18', 'vit_b_16']",2,0.3926369451516377,False,inf,
mode_s,"['resnet34', 'resnet50']","['resnet34', 'resnet50']",2,0.1787536050563898,True,2.708108108108108,
mode_s,"['resnet34', 'resnet101']","['resnet34', 'resnet101']",2,0.3854057733959642,False,inf,
mode_s,"['resnet34', 'vit_b_16']","['resnet34', 'vit_b_16']",2,0.3926369451516377,False,inf,
mode_s,"['resnet50', 'resnet101']","['resnet50', 'resnet101']",2,0.3854057733959642,False,inf,
mode_s,"['resnet50', 'vit_b_16']","['resnet50', 'vit_b_16']",2,0.3926369451516377,False,inf,
mode_s,"['resnet101', 'vit_b_16']","['resnet101', 'vit_b_16']",2,0.3926369451516377,False,inf,
mode_s,"['mobilenet_v3_small', 'resnet18', 'resnet34']","['mobilenet_v3_small', 'resnet18', 'resnet34']",3,0.15079315265970755,True,4.596036585365853,
mode_s,"['mobilenet_v3_small', 'resnet18', 'resnet50']","['mobilenet_v3_small', 'resnet18', 'resnet50']",3,0.1787536050563898,True,4.014647137150466,
mode_s,"['mobilenet_v3_small', 'resnet18', 'resnet101']","['mobilenet_v3_small', 'resnet18', 'resnet101']",3,0.3854057733959642,False,inf,
mode_s,"['mobilenet_v3_small', 'resnet18', 'vit_b_16']","['mobilenet_v3_small', 'resnet18', 'vit_b_16']",3,0.3926369451516377,False,inf,
mode_s,"['mobilenet_v3_small', 'resnet34', 'resnet50']","['mobilenet_v3_small', 'resnet34', 'resnet50']",3,0.1787536050563898,True,3.2040382571732198,
mode_s,"['mobilenet_v3_small', 'resnet34', 'resnet101']","['mobilenet_v3_small', 'resnet34', 'resnet101']",3,0.3854057733959642,False,inf,
mode_s,"['mobilenet_v3_small', 'resnet34', 'vit_b_16']","['mobilenet_v3_small', 'resnet34', 'vit_b_16']",3,0.3926369451516377,False,inf,
mode_s,"['mobilenet_v3_small', 'resnet50', 'resnet101']","['mobilenet_v3_small', 'resnet50', 'resnet101']",3,0.3854057733959642,False,inf,
mode_s,"['mobilenet_v3_small', 'resnet50', 'vit_b_16']","['mobilenet_v3_small', 'resnet50', 'vit_b_16']",3,0.3926369451516377,False,inf,
mode_s,"['mobilenet_v3_small', 'resnet101', 'vit_b_16']","['mobilenet_v3_small', 'resnet101', 'vit_b_16']",3,0.3926369451516377,False,inf,
mode_s,"['resnet18', 'resnet34', 'resnet50']","['resnet18', 'resnet34', 'resnet50']",3,0.1787536050563898,True,2.621739130434783,
mode_s,"['resnet18', 'resnet34', 'resnet101']","['resnet18', 'resnet34', 'resnet101']",3,0.3854057733959642,False,inf,
mode_s,"['resnet18', 'resnet34', 'vit_b_16']","['resnet18', 'resnet34', 'vit_b_16']",3,0.3926369451516377,False,inf,
mode_s,"['resnet18', 'resnet50', 'resnet101']","['resnet18', 'resnet50', 'resnet101']",3,0.3854057733959642,False,inf,
mode_s,"['resnet18', 'resnet50', 'vit_b_16']","['resnet18', 'resnet50', 'vit_b_16']",3,0.3926369451516377,False,inf,
mode_s,"['resnet18', 'resnet101', 'vit_b_16']","['resnet18', 'resnet101', 'vit_b_16']",3,0.3926369451516377,False,inf,
mode_s,"['resnet34', 'resnet50', 'resnet101']","['resnet34', 'resnet50', 'resnet101']",3,0.3854057733959642,False,inf,
mode_s,"['resnet34', 'resnet50', 'vit_b_16']","['resnet34', 'resnet50', 'vit_b_16']",3,0.3926369451516377,False,inf,
mode_s,"['resnet34', 'resnet101', 'vit_b_16']","['resnet34', 'resnet101', 'vit_b_16']",3,0.3926369451516377,False,inf,
mode_s,"['resnet50', 'resnet101', 'vit_b_16']","['resnet50', 'resnet101', 'vit_b_16']",3,0.3926369451516377,False,inf,
